name
Peterborough
Philadelphia
Piast Gliwice
Pisa
Plymouth Argyle
Pogoń Szczecin
Pohang Steelers
Ponte Preta
Port Vale
Portland
Portsmouth
Preston
PSG
PSV
Puebla
QPR
Querétaro
Quilmes
Racing Club
Rafaela
Randers FC
Rangers
Rayo Vallecano
RB Leipzig
RB Salzburg
RC Deportivo
RC Lens
RC Strasbourg
RCD Espanyol
RCD Mallorca
Reading
Real Betis
Real Madrid
Real Oviedo
Real Salt Lake
Real Sociedad
Real Valladolid
Real Zaragoza
Red Star FC
Rio Ave
River Plate
Rochdale
Roda JC
Roma
Rosario Central
Rosenborg BK
Ross County
Rotherham Utd
Royal Mouscron
RSC Anderlecht
Rubin Kazan
Ruch Chorzów
Sagan Tosu
Salerno
Sampdoria
San Juan
San Lorenzo
San Luis
Sanfrecce Hiroshima
Sangju Sangmu
Santa Cruz
Santa Fe
Santos
Santos Laguna
São Paulo
Sarandí
Sarpsborg 08 FF
Sassuolo
SC Bastia
SC Braga
SC Freiburg
SC Heerenveen
SCR Altach
Scunthorpe Utd
SD Eibar
SD Huesca
Seongnam FC
Sevilla Atlét.
Sevilla FC
Shakhtar Donetsk
Shamrock Rovers
Sheffield Utd
Sheffield Wed
Shonan Bellmare
Shrewsbury
Silkeborg IF
Sint-Truiden
SJ Earthquakes
SK Brann
SK Rapid Wien
SK Sturm Graz
SKN St. Pölten
SL Benfica
Śląsk Wrocław
Sligo Rovers
SM Caen
Sogndal
SønderjyskE
Sounders FC
Southampton
Southend United
Sp. Charleroi
Spal
Sparta R'dam
Spartak Moscow
Sport
Sport. Lokeren
Sporting CP
Sporting Gijón
Sporting KC
Spurs
St. Johnstone
St. Pats
Stabæk Fotball
Stade Brestois
Stade de Reims
Stade Lavallois
Stade Rennais
Standard Liège
Stevenage
Stoke City
Strømsgodset IF
Sunderland
Suwon Bluewings
Suwon FC
SV Darmstadt
SV Mattersburg
SV Ried
SV Sandhausen
Swansea City
Swindon Town
Sydney FC
Temperley
Terek Grozny
Termalica
Terni
Tigre
Tigres
Tijuana
Toluca
Tondela
Torino
Toronto FC
Toulouse FC
Tours FC
Trabzonspor
Trapani
Tromsø IL
U.N.A.M.
UCAM Murcia
UD Almería
UD Las Palmas
Udinese
Ulsan Hyundai
Uni. Católica
Uni. Concepción
Uni. de Chile
Unión
Union Berlin
Unión Española
Urawa Diamonds
US Orléans
V. Guimarães
V. Setúbal
Valencia CF
Valenciennes FC
Vålerenga Fotball
Vasco da Gama
Vegalta Sendai
Vélez Sarsfield
Ventforet Kofu
Veracruz
Vercelli
VfB Stuttgart
VfL Bochum
VfL Wolfsburg
Viborg FF
Vicenza
Viking FK
Villarreal CF
Vissel Kobe
Vitesse
Vitória
Waasl. Beveren
Walsall
Wanderers
Watford
Well. Phoenix
Werder Bremen
West Brom
West Ham
Wexford Youths
Whitecaps FC
Wigan Athletic
Willem II
Wisła Kraków
Wisła Płock
Wolfsberger AC
Wolves
WS Wanderers
Würzburger Kickers
Wycombe
Yeovil Town
Yokohama F. Marinos
Zagłębie Lubin
Zenit
Zulte-Waregem
